dataset,fold,method,n_train,n_proto,cpu_seconds,blas_threads
segment,1,GLVQ,1848,373,14.06562500000291,1
segment,1,GNG,1848,373,2.294068999995943,1
segment,2,RSP3,1848,379,0.09832599999208469,1
segment,2,SPINE,1848,379,1.815612999998848,1
segment,2,RHC,1848,165,0.03652999999758322,1
segment,2,KMeans,1848,379,0.13751000000047497,1
segment,2,LVQ3,1848,379,0.9276490000047488,1
segment,2,SPOT,1848,379,0.16040500000235625,1
segment,2,GLVQ,1848,379,14.170219999999972,1
segment,2,GNG,1848,379,2.3084929999895394,1
segment,3,RSP3,1848,378,0.07678299999679439,1
segment,3,SPINE,1848,378,1.8878809999878285,1
segment,3,RHC,1848,166,0.037045999997644685,1
segment,3,KMeans,1848,378,0.1385080000036396,1
segment,3,LVQ3,1848,378,0.9167540000053123,1
segment,3,SPOT,1848,378,0.16155699999944773,1
segment,3,GLVQ,1848,378,14.149653000000399,1
segment,3,GNG,1848,378,2.307033000004594,1
segment,4,RSP3,1848,363,0.08784899998863693,1
segment,4,SPINE,1848,363,1.8681030000007013,1
segment,4,RHC,1848,155,0.03494100000534672,1
segment,4,KMeans,1848,363,0.13436300000466872,1
segment,4,LVQ3,1848,363,0.9057160000083968,1
segment,4,SPOT,1848,363,0.15782300000137184,1
segment,4,GLVQ,1848,363,13.66433899999538,1
segment,4,GNG,1848,363,2.2615890000015497,1
sonar,0,RSP3,166,81,0.0032519999949727207,1
sonar,0,SPINE,166,81,0.1567170000053011,1
sonar,0,RHC,166,20,0.0064470000070286915,1
sonar,0,KMeans,166,81,0.026470000011613593,1
sonar,0,LVQ3,166,81,0.0621850000025006,1
sonar,0,SPOT,166,81,0.005713999998988584,1
sonar,0,GLVQ,166,81,0.31908600000315346,1
sonar,0,GNG,166,81,0.4684479999996256,1
sonar,1,RSP3,166,78,0.0026639999996405095,1
sonar,1,SPINE,166,78,0.15134199999738485,1
sonar,1,RHC,166,19,0.0059920000057900324,1
sonar,1,KMeans,166,78,0.025775999994948506,1
sonar,1,LVQ3,166,78,0.06102900000405498,1
sonar,1,SPOT,166,78,0.0051909999892814085,1
sonar,1,GLVQ,166,78,0.30970199999865144,1
sonar,1,GNG,166,78,0.4393299999937881,1
sonar,2,RSP3,166,77,0.0024950000079115853,1
sonar,2,SPINE,166,77,0.15284200001042336,1
sonar,2,RHC,166,20,0.006214999986696057,1
sonar,2,KMeans,166,77,0.025297999993199483,1
sonar,2,LVQ3,166,77,0.06010600000445265,1
sonar,2,SPOT,166,77,0.005463000008603558,1
sonar,2,GLVQ,166,77,0.3051229999982752,1
sonar,2,GNG,166,77,0.4342739999992773,1
sonar,3,RSP3,167,71,0.0023970000038389117,1
sonar,3,SPINE,167,71,0.14254499999515247,1
sonar,3,RHC,167,21,0.006596999999601394,1
sonar,3,KMeans,167,71,0.023370000009890646,1
sonar,3,LVQ3,167,71,0.05742599999939557,1
sonar,3,SPOT,167,71,0.005078000001958571,1
sonar,3,GLVQ,167,71,0.2873749999998836,1
sonar,3,GNG,167,71,0.3811050000076648,1
sonar,4,RSP3,167,87,0.002690000008442439,1
sonar,4,SPINE,167,87,0.163170000014361,1
sonar,4,RHC,167,16,0.00499600000330247,1
sonar,4,KMeans,167,87,0.028279000005568378,1
sonar,4,LVQ3,167,87,0.06519799999659881,1
sonar,4,SPOT,167,87,0.005804000000352971,1
sonar,4,GLVQ,167,87,0.3403519999992568,1
sonar,4,GNG,167,87,0.5187989999976708,1
spambase,0,RSP3,3677,1145,0.578047000002698,1
spambase,0,SPINE,3677,1145,53.89919999999984,1
spambase,0,RHC,3677,406,0.15649500000290573,1
