acc_1nn,budget,budget_floored,budget_fraction,budget_fraction_nominal,dataset,method,n_folds,n_proto,reduction,shared_build,swept
0.8758490566037735,95.0,False,0.019916142557651995,0.02,banana,Full,10,4770.0,0.0,True,False
0.8611320754716981,95.0,False,0.019916142557651995,0.02,banana,GLVQ,10,95.0,0.9800838574423482,False,True
0.8971698113207547,95.0,False,0.019916142557651995,0.02,banana,GNG,10,95.0,0.9800838574423482,False,True
0.8867924528301886,95.0,False,0.019916142557651995,0.02,banana,KMeans,10,95.0,0.9800838574423482,False,True
0.8984905660377359,95.0,False,0.019916142557651995,0.02,banana,LVQ3,10,95.0,0.9800838574423482,False,True
0.8339622641509437,95.0,False,0.019916142557651995,0.02,banana,RHC,10,975.5,0.7954926624737946,True,False
0.8454716981132077,95.0,False,0.019916142557651995,0.02,banana,RSP3,10,1177.4,0.7531656184486373,True,False
0.8407547169811321,95.0,False,0.019916142557651995,0.02,banana,Random,10,95.0,0.9800838574423482,False,True
0.8990566037735851,95.0,False,0.019916142557651995,0.02,banana,SPINE+1NN,10,95.0,0.9800838574423482,False,True
0.9018867924528301,95.0,False,0.019916142557651995,0.02,banana,SPINE+Graph,10,95.0,0.9800838574423482,False,True
0.8637735849056604,95.0,False,0.019916142557651995,0.02,banana,SPOT,10,95.0,0.9800838574423482,False,True
0.8758490566037735,239.0,False,0.050104821802935004,0.05,banana,Full,10,4770.0,0.0,True,False
0.8605660377358492,239.0,False,0.050104821802935004,0.05,banana,GLVQ,10,239.0,0.9498951781970651,False,True
0.8886792452830189,239.0,False,0.050104821802935004,0.05,banana,GNG,10,239.0,0.9498951781970651,False,True
0.8737735849056604,239.0,False,0.050104821802935004,0.05,banana,KMeans,10,239.0,0.9498951781970651,False,True
0.8956603773584906,239.0,False,0.050104821802935004,0.05,banana,LVQ3,10,239.0,0.9498951781970651,False,True
0.8339622641509437,239.0,False,0.050104821802935004,0.05,banana,RHC,10,975.5,0.7954926624737946,True,False
0.8454716981132077,239.0,False,0.050104821802935004,0.05,banana,RSP3,10,1177.4,0.7531656184486373,True,False
0.858867924528302,239.0,False,0.050104821802935004,0.05,banana,Random,10,239.0,0.9498951781970651,False,True
0.899433962264151,239.0,False,0.050104821802935004,0.05,banana,SPINE+1NN,10,239.0,0.9498951781970651,False,True
0.9007547169811321,239.0,False,0.050104821802935004,0.05,banana,SPINE+Graph,10,239.0,0.9498951781970651,False,True
0.8720754716981132,239.0,False,0.050104821802935004,0.05,banana,SPOT,10,239.0,0.9498951781970651,False,True
0.8758490566037735,477.0,False,0.1,0.1,banana,Full,10,4770.0,0.0,True,False
0.8641509433962264,477.0,False,0.1,0.1,banana,GLVQ,10,477.0,0.9,False,True
0.8718867924528302,477.0,False,0.1,0.1,banana,GNG,10,477.0,0.9,False,True
0.8556603773584905,477.0,False,0.1,0.1,banana,KMeans,10,477.0,0.9,False,True
0.8896226415094339,477.0,False,0.1,0.1,banana,LVQ3,10,477.0,0.9,False,True
0.8339622641509437,477.0,False,0.1,0.1,banana,RHC,10,975.5,0.7954926624737946,True,False
0.8454716981132077,477.0,False,0.1,0.1,banana,RSP3,10,1177.4,0.7531656184486373,True,False
0.8547169811320756,477.0,False,0.1,0.1,banana,Random,10,477.0,0.9,False,True
0.9018867924528301,477.0,False,0.1,0.1,banana,SPINE+1NN,10,477.0,0.9,False,True
0.9020754716981134,477.0,False,0.1,0.1,banana,SPINE+Graph,10,477.0,0.9,False,True
0.8647169811320754,477.0,False,0.1,0.1,banana,SPOT,10,477.0,0.9,False,True
0.8758490566037735,1193.0,False,0.25010482180293503,0.25,banana,Full,10,4770.0,0.0,True,False
0.8618867924528303,1193.0,False,0.25010482180293503,0.25,banana,GLVQ,10,1193.0,0.7498951781970649,False,True
0.8573584905660377,1193.0,False,0.25010482180293503,0.25,banana,GNG,10,1193.0,0.7498951781970649,False,True
0.8537735849056605,1193.0,False,0.25010482180293503,0.25,banana,KMeans,10,1193.0,0.7498951781970649,False,True
0.8766037735849057,1193.0,False,0.25010482180293503,0.25,banana,LVQ3,10,1193.0,0.7498951781970649,False,True
0.8339622641509437,1193.0,False,0.25010482180293503,0.25,banana,RHC,10,975.5,0.7954926624737946,True,False
0.8454716981132077,1193.0,False,0.25010482180293503,0.25,banana,RSP3,10,1177.4,0.7531656184486373,True,False
